Index,NGA,PolID,Time,PolPop,PolTerr,CapPop,levels,government,infrastr,writing,texts,money
Konya Plain (-9600),Konya Plain,TrNeoER,-9600,3.2937241000000004,4.138263053,1.442117519,-0.055817113,0.0,0.0,0.0,0.0,0.0
Konya Plain (-9500),Konya Plain,TrNeoER,-9500,3.2937241000000004,4.138263053,1.442117519,-0.055817113,0.0,0.0,0.0,0.0,0.0
Konya Plain (-9400),Konya Plain,TrNeoER,-9400,3.2937241000000004,4.138263053,1.442117519,-0.055817113,0.0,0.0,0.0,0.0,0.0
Konya Plain (-9300),Konya Plain,TrNeoER,-9300,3.2937241000000004,4.138263053,1.442117519,-0.055817113,0.0,0.0,0.0,0.0,0.0
Konya Plain (-9200),Konya Plain,TrNeoER,-9200,3.2937241000000004,4.138263053,1.442117519,-0.055817113,0.0,0.0,0.0,0.0,0.0
Konya Plain (-9100),Konya Plain,TrNeoER,-9100,3.2937241000000004,4.138263053,1.442117519,-0.055817113,0.0,0.0,0.0,0.0,0.0
Konya Plain (-9000),Konya Plain,TrNeoER,-9000,3.2937241000000004,4.138263053,1.442117519,-0.055817113,0.0,0.0,0.0,0.0,0.0
Konya Plain (-8900),Konya Plain,TrNeoER,-8900,3.2937241000000004,4.138263053,1.442117519,-0.055817113,0.0,0.0,0.0,0.0,0.0
Konya Plain (-8800),Konya Plain,TrNeoER,-8800,3.2937241000000004,4.138263053,1.442117519,-0.055817113,0.0,0.0,0.0,0.0,0.0
Konya Plain (-8700),Konya Plain,TrNeoER,-8700,3.2937241000000004,4.138263053,1.442117519,-0.055817113,0.0,0.0,0.0,0.0,0.0
Konya Plain (-8600),Konya Plain,TrNeoER,-8600,3.2937241000000004,4.138263053,1.442117519,-0.055817113,0.0,0.0,0.0,0.0,0.0
Konya Plain (-8500),Konya Plain,TrNeoER,-8500,3.2937241000000004,4.138263053,1.442117519,-0.055817113,0.0,0.0,0.0,0.0,0.0
Konya Plain (-8400),Konya Plain,TrNeoER,-8400,3.2937241000000004,4.138263053,1.442117519,-0.055817113,0.0,0.0,0.0,0.0,0.0
Konya Plain (-8300),Konya Plain,TrNeoER,-8300,3.2937241000000004,4.138263053,1.442117519,-0.055817113,0.0,0.0,0.0,0.0,0.0
